doc_id,pdf_name,page_idx,image_path
fr3_operating_manual,fr3_operating_manual.pdf,46,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0046.png
fr3_operating_manual,fr3_operating_manual.pdf,47,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0047.png
fr3_operating_manual,fr3_operating_manual.pdf,48,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0048.png
fr3_operating_manual,fr3_operating_manual.pdf,49,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0049.png
fr3_operating_manual,fr3_operating_manual.pdf,50,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0050.png
fr3_operating_manual,fr3_operating_manual.pdf,51,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0051.png
fr3_operating_manual,fr3_operating_manual.pdf,52,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0052.png
fr3_operating_manual,fr3_operating_manual.pdf,53,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0053.png
fr3_operating_manual,fr3_operating_manual.pdf,54,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0054.png
fr3_operating_manual,fr3_operating_manual.pdf,55,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0055.png
fr3_operating_manual,fr3_operating_manual.pdf,56,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0056.png
fr3_operating_manual,fr3_operating_manual.pdf,57,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0057.png
fr3_operating_manual,fr3_operating_manual.pdf,58,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0058.png
fr3_operating_manual,fr3_operating_manual.pdf,59,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0059.png
fr3_operating_manual,fr3_operating_manual.pdf,60,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0060.png
fr3_operating_manual,fr3_operating_manual.pdf,61,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0061.png
fr3_operating_manual,fr3_operating_manual.pdf,62,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0062.png
fr3_operating_manual,fr3_operating_manual.pdf,63,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0063.png
fr3_operating_manual,fr3_operating_manual.pdf,64,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0064.png
fr3_operating_manual,fr3_operating_manual.pdf,65,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0065.png
fr3_operating_manual,fr3_operating_manual.pdf,66,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0066.png
fr3_operating_manual,fr3_operating_manual.pdf,67,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0067.png
fr3_operating_manual,fr3_operating_manual.pdf,68,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0068.png
fr3_operating_manual,fr3_operating_manual.pdf,69,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0069.png
fr3_operating_manual,fr3_operating_manual.pdf,70,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0070.png
fr3_operating_manual,fr3_operating_manual.pdf,71,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0071.png
fr3_operating_manual,fr3_operating_manual.pdf,72,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0072.png
fr3_operating_manual,fr3_operating_manual.pdf,73,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0073.png
fr3_operating_manual,fr3_operating_manual.pdf,74,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0074.png
fr3_operating_manual,fr3_operating_manual.pdf,75,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0075.png
fr3_operating_manual,fr3_operating_manual.pdf,76,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0076.png
fr3_operating_manual,fr3_operating_manual.pdf,77,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0077.png
fr3_operating_manual,fr3_operating_manual.pdf,78,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0078.png
fr3_operating_manual,fr3_operating_manual.pdf,79,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0079.png
fr3_operating_manual,fr3_operating_manual.pdf,80,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0080.png
fr3_operating_manual,fr3_operating_manual.pdf,81,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0081.png
fr3_operating_manual,fr3_operating_manual.pdf,82,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0082.png
fr3_operating_manual,fr3_operating_manual.pdf,83,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0083.png
fr3_operating_manual,fr3_operating_manual.pdf,84,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0084.png
fr3_operating_manual,fr3_operating_manual.pdf,85,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0085.png
fr3_operating_manual,fr3_operating_manual.pdf,86,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0086.png
fr3_operating_manual,fr3_operating_manual.pdf,87,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0087.png
fr3_operating_manual,fr3_operating_manual.pdf,88,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0088.png
fr3_operating_manual,fr3_operating_manual.pdf,89,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0089.png
fr3_operating_manual,fr3_operating_manual.pdf,90,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0090.png
fr3_operating_manual,fr3_operating_manual.pdf,91,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0091.png
fr3_operating_manual,fr3_operating_manual.pdf,92,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0092.png
fr3_operating_manual,fr3_operating_manual.pdf,93,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0093.png
fr3_operating_manual,fr3_operating_manual.pdf,94,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0094.png
