page_id,doc_id,pdf_name,pdf_path,page_idx,image_name,image_path,image_rel_path,dpi
fr3_operating_manual:0018,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,18,page_0018.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0018.png,data/pages/fr3_operating_manual/page_0018.png,160
fr3_operating_manual:0019,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,19,page_0019.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0019.png,data/pages/fr3_operating_manual/page_0019.png,160
fr3_operating_manual:0020,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,20,page_0020.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0020.png,data/pages/fr3_operating_manual/page_0020.png,160
fr3_operating_manual:0021,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,21,page_0021.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0021.png,data/pages/fr3_operating_manual/page_0021.png,160
fr3_operating_manual:0022,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,22,page_0022.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0022.png,data/pages/fr3_operating_manual/page_0022.png,160
fr3_operating_manual:0023,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,23,page_0023.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0023.png,data/pages/fr3_operating_manual/page_0023.png,160
fr3_operating_manual:0024,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,24,page_0024.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0024.png,data/pages/fr3_operating_manual/page_0024.png,160
fr3_operating_manual:0025,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,25,page_0025.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0025.png,data/pages/fr3_operating_manual/page_0025.png,160
fr3_operating_manual:0026,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,26,page_0026.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0026.png,data/pages/fr3_operating_manual/page_0026.png,160
fr3_operating_manual:0027,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,27,page_0027.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0027.png,data/pages/fr3_operating_manual/page_0027.png,160
fr3_operating_manual:0028,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,28,page_0028.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0028.png,data/pages/fr3_operating_manual/page_0028.png,160
fr3_operating_manual:0029,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,29,page_0029.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0029.png,data/pages/fr3_operating_manual/page_0029.png,160
fr3_operating_manual:0030,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,30,page_0030.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0030.png,data/pages/fr3_operating_manual/page_0030.png,160
fr3_operating_manual:0031,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,31,page_0031.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0031.png,data/pages/fr3_operating_manual/page_0031.png,160
fr3_operating_manual:0032,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,32,page_0032.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0032.png,data/pages/fr3_operating_manual/page_0032.png,160
fr3_operating_manual:0033,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,33,page_0033.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0033.png,data/pages/fr3_operating_manual/page_0033.png,160
fr3_operating_manual:0034,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,34,page_0034.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0034.png,data/pages/fr3_operating_manual/page_0034.png,160
fr3_operating_manual:0035,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,35,page_0035.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0035.png,data/pages/fr3_operating_manual/page_0035.png,160
fr3_operating_manual:0036,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,36,page_0036.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0036.png,data/pages/fr3_operating_manual/page_0036.png,160
fr3_operating_manual:0037,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,37,page_0037.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0037.png,data/pages/fr3_operating_manual/page_0037.png,160
fr3_operating_manual:0038,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,38,page_0038.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0038.png,data/pages/fr3_operating_manual/page_0038.png,160
fr3_operating_manual:0039,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,39,page_0039.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0039.png,data/pages/fr3_operating_manual/page_0039.png,160
fr3_operating_manual:0040,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,40,page_0040.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0040.png,data/pages/fr3_operating_manual/page_0040.png,160
fr3_operating_manual:0041,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,41,page_0041.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0041.png,data/pages/fr3_operating_manual/page_0041.png,160
fr3_operating_manual:0042,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,42,page_0042.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0042.png,data/pages/fr3_operating_manual/page_0042.png,160
fr3_operating_manual:0043,fr3_operating_manual,fr3_operating_manual.pdf,/users/xyk/robotdoc-rag/data/raw_pdfs/fr3_operating_manual.pdf,43,page_0043.png,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0043.png,data/pages/fr3_operating_manual/page_0043.png,160
